unique_id,cluster,full_name,first_and_surname,first_name,surname,dob,birth_place,postcode_fake,gender,occupation
Q2296770-1,Q2296770,"thomas clifford, 1st baron clifford of chudleigh",thomas chudleigh,thomas,chudleigh,1630-08-01,devon,tq13 8df,male,politician
Q2296770-2,Q2296770,thomas of chudleigh,thomas chudleigh,thomas,chudleigh,1630-08-01,devon,tq13 8df,male,politician
Q2296770-3,Q2296770,tom 1st baron clifford of chudleigh,tom chudleigh,tom,chudleigh,1630-08-01,devon,tq13 8df,male,politician
Q2296770-4,Q2296770,thomas 1st chudleigh,thomas chudleigh,thomas,chudleigh,1630-08-01,devon,tq13 8hu,,politician
Q2296770-5,Q2296770,"thomas clifford, 1st baron chudleigh",thomas chudleigh,thomas,chudleigh,1630-08-01,devon,tq13 8df,,politician
Q2296770-6,Q2296770,thomas clifford of chudleigh,thomas chudleigh,thomas,chudleigh,1630-08-01,west devon,tq13 8df,male,politician
Q2296770-7,Q2296770,tom baron chudleigh,tom chudleigh,tom,chudleigh,1630-08-01,west devon,tq13 8df,,
Q2296770-8,Q2296770,"tom clifford, of chudleigh",tom chudleigh,tom,chudleigh,,devon,tq13 8df,male,politician
Q2296770-9,Q2296770,"thomas clifford, chudleigh",thomas chudleigh,thomas,chudleigh,1630-05-01,,,,politician
Q2296770-10,Q2296770,"thomas clifford, baron chudleigh",thomas chudleigh,thomas,chudleigh,,devon,tq13 8jr,male,politician
Q2296770-11,Q2296770,"thomas clifford, clifford chydleigh",thomas chydleigh,thomas,chydleigh,1630-08-11,devon,tq13 8jr,male,
Q2296770-12,Q2296770,rhomas clifford chudleigh,rhomas chudleigh,rhomas,chudleigh,1630-08-01,devon,tq13 8dg,male,politician
Q2296770-13,Q2296770,tom 1st chudleigh,tom chudleigh,tom,chudleigh,,drewsteignton,tq13 8df,male,politician
Q2296770-14,Q2296770,thomas 1st baron clifford chudleigh,thomas chudleigh,thomas,chudleigh,1638-08-01,,tq1w 8df,male,politician
Q2296770-15,Q2296770,"clifford, 1st of chudleigh","clifford, chudleigh","clifford,",chudleigh,1630-08-01,west devon,,,
Q2296770-16,Q2296770,thomzs 1st baron clifford,thomzs clifford,thomzs,clifford,1630-08-01,,tq13 8df,male,politician
Q1443188-1,Q1443188,frank edward brightman,frank brightman,frank,brightman,1856-06-18,bristol,bs2 0el,male,liturgist
Q1443188-2,Q1443188,frank edward brightman,frank brightman,frank,brightman,1856-06-18,bristol,bs2 0el,male,liturgist
Q1443188-3,Q1443188,frank brightman,frank brightman,frank,brightman,1856-06-18,"bristol, city of",bs2 0el,,liturgist
Q1443188-4,Q1443188,francis ed brightman,francis brightman,francis,brightman,1856-06-18,,bs2 0el,male,liturgist
Q1443188-5,Q1443188,francis edward brightman,francis brightman,francis,brightman,1856-86-18,"bristol, city of",cf83 4jg,female,liturgist
Q1443188-6,Q1443188,feank brightman,feank brightman,feank,brightman,,"bristol, city of",bs2 0el,male,liturgist
Q90404618-1,Q90404618,emlie clifford,emlie clifford,emlie,clifford,1861-01-01,wychavon,wr11 7qp,female,playwright
Q90404618-2,Q90404618,emlie clifford,emlie clifford,emlie,clifford,1861-01-01,wychavon,wr11 7qp,female,playwright
Q90404618-3,Q90404618,emlie clifford,emlie clifford,emlie,clifford,1861-01-01,wychavon,wr11 7qw,female,playwright
Q90404618-4,Q90404618,emlie bennet,emlie bennet,emlie,bennet,1861-01-01,,,,
Q90404618-5,Q90404618,emlie bennet,emlie bennet,emlie,bennet,,,wr11 8qp,,
Q21464185-1,Q21464185,gerald maurice burn,gerald burn,gerald,burn,1862-04-01,london,sw1a 2bj,male,etcher
Q21464185-2,Q21464185,gerald maurice burn,gerald burn,gerald,burn,1862-04-01,london,sw1a 2bj,male,etcher
Q21464185-3,Q21464185,gerald maurice burn,gerald burn,gerald,burn,1862-05-01,london,sw1a 2bj,male,etcher
Q21464185-4,Q21464185,gerald burn,gerald burn,gerald,burn,1862-04-01,westminster,sw1a 2bj,male,
Q21464185-5,Q21464185,gerard burn,gerard burn,gerard,burn,,london,,,
Q21464185-6,Q21464185,gerald burn,gerald burn,gerald,burn,,westminster,sw1a 2bj,male,etcher
Q21464185-7,Q21464185,gerald maurice,gerald maurice,gerald,maurice,1862-04-01,westminster,,,
Q21464185-8,Q21464185,jerald mo burn,jerald burn,jerald,burn,,london,sw1a 2bj,,
Q2516590-1,Q2516590,william whitehead watts,william watts,william,watts,1860-06-07,shropshire,sy5 7nt,male,geologist
Q2516590-2,Q2516590,william whitehead watts,william watts,william,watts,1860-06-07,shropshire,sy5 7nt,male,geologist
Q2516590-3,Q2516590,william watts,william watts,william,watts,1860-06-07,shropshire,sy5 7nt,male,geologist
Q2516590-4,Q2516590,will whitehead watts,will watts,will,watts,,shropshire,sy5 7nt,male,geologist
Q2516590-5,Q2516590,william watts,william watts,william,watts,1860-06-01,frodesley,,female,geologist
Q2516590-6,Q2516590,willie watts,willie watts,willie,watts,,shropshire,,male,geologist
Q2516590-7,Q2516590,william whitehead wztts,william wztts,william,wztts,1868-06-07,shropshire,tf11 8ed,male,
Q2516590-8,Q2516590,watts,watts,watts,,1860-06-07,,sy5 7nt,male,geologist
Q2516590-9,Q2516590,william watts,william watts,william,watts,,,sy5 7nt,,
Q2516590-10,Q2516590,willy whitehead watts,willy watts,willy,watts,,,sy5 7nt,,
Q55455287-1,Q55455287,jaido morata,jaido morata,jaido,morata,1836-01-01,somerset west and taunton,ta4 2uu,male,writer
Q55455287-2,Q55455287,jaido morata,jaido morata,jaido,morata,1836-01-01,somerset west and taunton,ta4 2uu,male,writer
Q55455287-3,Q55455287,jaido morata,jaido morata,jaido,morata,1836-01-01,somerset west and taunton,ta4 2uu,male,writer
Q55455287-4,Q55455287,jaido morata,jaido morata,jaido,morata,1836-01-01,somerset west and taunton,ta4 2sz,male,writer
Q55455287-5,Q55455287,jaido morata,jaido morata,jaido,morata,1836-01-01,somerset west and taunton,ta4 2ug,male,
Q55455287-6,Q55455287,jaido morata,jaido morata,jaido,morata,1836-01-01,somerset west and taunton,,male,writer
Q55455287-7,Q55455287,jaido morata,jaido morata,jaido,morata,,wiveliscombe,ta4 2ru,male,writer
Q55455287-8,Q55455287,jaido morata,jaido morata,jaido,morata,1836-11-01,,ta4 2uu,male,writer
Q55455287-9,Q55455287,joan vickers,joan vickers,joan,vickers,1886-01-01,somerset west and taunton,ta4 2uu,male,writer
Q55455287-10,Q55455287,jaido john morata,jaido morata,jaido,morata,1836-01-01,somerset west and taunton,ta4 2uu,male,writer
Q55455287-11,Q55455287,jon vickers,jon vickers,jon,vickers,1836-21-01,somerset west and taunton,ta4 2uu,male,
Q55455287-12,Q55455287,jaido morata,jaido morata,jaido,morata,1836-01-01,somerset west and taunton,ta4 2ug,,
Q55455287-13,Q55455287,john vickers,john vickers,john,vickers,,wiveliscombe,,,
Q55455287-14,Q55455287,jean vickers,jean vickers,jean,vickers,,somerset west and taunton,ta5 2uu,male,
Q55455287-15,Q55455287,john vickers,john vickers,john,vickers,1886-01-01,somerset west and taunton,,,
Q631006-1,Q631006,moses gaster,moses gaster,moses,gaster,1856-09-17,bucharest,ex20 3pz,male,rabbi
Q631006-2,Q631006,moses gaster,moses gaster,moses,gaster,1856-09-17,bucharest,ex20 3pz,male,rabbi
Q631006-3,Q631006,musa gaster,musa gaster,musa,gaster,,,,,
Q18917156-1,Q18917156,agnes beaumont,agnes beaumont,agnes,beaumont,1652-01-01,edworth,sg18 9tb,female,defendant
Q18917156-2,Q18917156,agnes beaumont,agnes beaumont,agnes,beaumont,1652-01-01,edworth,sg18 9tb,female,defendant
Q18917156-3,Q18917156,nessie,nessie,nessie,,,edworth,sg18 9tb,female,defendant
Q18917156-4,Q18917156,agnes beaumont,agnes beaumont,agnes,beaumont,1652-01-01,edworth,sg18 8qx,female,defendant
Q18917156-5,Q18917156,agnes beaumont,agnes beaumont,agnes,beaumont,1662-01-01,,,female,
Q18917156-6,Q18917156,nessie beaumont,nessie beaumont,nessie,beaumont,1652-01-01,edworth,,female,defendant
Q18917156-7,Q18917156,agnes beaumont,agnes beaumont,agnes,beaumont,,biggleswade,sg18 9ay,,autobiographer
Q18917156-8,Q18917156,agnes bequmont,agnes bequmont,agnes,bequmont,1652-01-01,edworth,sg18 9td,female,
Q18917156-9,Q18917156,nessie,nessie,nessie,,1652-02-01,edworth,sg13 7nt,,
Q18917156-10,Q18917156,nessie,nessie,nessie,,,,sg7 5en,,
Q7795446-1,Q7795446,thomas de barry,thomas barry,thomas,barry,1560-01-01,cardiff,cf14 5gh,male,judge
Q7795446-2,Q7795446,thomas barry,thomas barry,thomas,barry,1560-01-01,cardiff,cf14 5gh,male,judge
Q7795446-3,Q7795446,thomas barry,thomas barry,thomas,barry,1560-01-01,cardiff,cf14 6tq,male,judge
Q7795446-4,Q7795446,thomas barrie,thomas barrie,thomas,barrie,,llanishen,,male,
Q7795446-5,Q7795446,tom de barry,tom barry,tom,barry,,cardiff,cf14 6tq,male,
Q7795446-6,Q7795446,thomas de barry,thomas barry,thomas,barry,,cardiff,,,judge
Q7795446-7,Q7795446,thomas barrie,thomas barrie,thomas,barrie,,,,male,
Q3750927-1,Q3750927,francis hepburn chevallier-boutell,francis chevallier-boutell,francis,chevallier-boutell,1851-06-08,aspall,ip14 6jf,male,engineer
Q3750927-2,Q3750927,francis hepburn chevallier-boutell,francis chevallier-boutell,francis,chevallier-boutell,1851-06-08,aspall,ip14 6jf,male,engineer
Q3750927-3,Q3750927,frank chevallier-boutell,frank chevallier-boutell,frank,chevallier-boutell,1851-06-08,aspall,,male,engineer
Q3750927-4,Q3750927,frank chevallier-boutell,frank chevallier-boutell,frank,chevallier-boutell,1851-08-08,aspall,,male,engineer
Q3750927-5,Q3750927,frank chevallier-boutell,frank chevallier-boutell,frank,chevallier-boutell,,,ip14 6jf,male,engineer
Q3750927-6,Q3750927,frank hepburn chevallier-boutell,frank chevallier-boutell,frank,chevallier-boutell,,aspall,ip14 5hh,female,engineer
Q18672658-1,Q18672658,thomas sharp,thomas sharp,thomas,sharp,1770-01-01,trafford,m32 0ej,male,
Q18672658-2,Q18672658,thomas sharp,thomas sharp,thomas,sharp,1770-01-01,trafford,m32 0ej,male,
Q18672658-3,Q18672658,thomas sharp,thomas sharp,thomas,sharp,1770-01-01,trafford,m32 0ej,male,
Q18672658-4,Q18672658,thomas sharp,thomas sharp,thomas,sharp,1780-01-01,trafford,m32 0ej,male,
Q18672658-5,Q18672658,thomas sharp,thomas sharp,thomas,sharp,1770-01-01,trafford,m32 0ej,,
Q18672658-6,Q18672658,tom sharpe,tom sharpe,tom,sharpe,1770-01-01,trafford,,male,
Q18672658-7,Q18672658,thomas sharp,thomas sharp,thomas,sharp,1770-01-01,trafford,,,
Q18672658-8,Q18672658,thomas sharpe,thomas sharpe,thomas,sharpe,1770-81-01,trafford,,,
Q18672658-9,Q18672658,thomas sharp,thomas sharp,thomas,sharp,1770-01-01,trafford,m32 0ej,male,
Q18672658-10,Q18672658,tommy sharp,tommy sharp,tommy,sharp,,trafford,,,
Q18672658-11,Q18672658,tom sharpe,tom sharpe,tom,sharpe,,,,male,
Q16211961-1,Q16211961,george thorp,george thorp,george,thorp,1777-09-09,chillingham,ne66 5nj,male,military personnel
Q16211961-2,Q16211961,george thorp,george thorp,george,thorp,1777-09-09,chillingham,ne66 5nj,male,military personnel
Q16211961-3,Q16211961,george thorp,george thorp,george,thorp,1777-89-09,chillingham,,male,
Q16211961-4,Q16211961,georgina thorp,georgina thorp,georgina,thorp,,,,,
Q7149918-1,Q7149918,paul colomiès,paul colomiès,paul,colomiès,1638-12-02,la rochelle,co15 4su,male,librarian
Q7149918-2,Q7149918,paul colomiès,paul colomiès,paul,colomiès,1638-12-02,la rochelle,co15 4su,male,librarian
Q7149918-3,Q7149918,paolo colomies,paolo colomies,paolo,colomies,1638-12-02,la rochelle,co15 4su,male,librarian
Q7149918-4,Q7149918,paul colomiès,paul colomiès,paul,colomiès,,,co15 4su,male,librarian
Q7149918-5,Q7149918,paul colomiès,paul colomiès,paul,colomiès,1638-12-02,la rochelle,co15 4su,,librarian
Q7149918-6,Q7149918,paul colomiès,paul colomiès,paul,colomiès,,la rochelle,co15 4su,male,philosopher
Q7149918-7,Q7149918,paul colomiès,paul colomiès,paul,colomiès,1638-12-02,la rochelle,nr9 4eg,,
Q7149918-8,Q7149918,paul colomies,paul colomies,paul,colomies,1638-12-02,,co15 4su,male,librarian
Q7149918-9,Q7149918,paul colomiès,paul colomiès,paul,colomiès,1638-12-02,la rochelle,,male,librarian
Q7149918-10,Q7149918,paul colomiès,paul colomiès,paul,colomiès,1638-12-02,,co15 4su,,librarian
Q7149918-11,Q7149918,pzul colomiès,pzul colomiès,pzul,colomiès,1638-12-02,,co15 4su,male,philosopher
